candidat,ville,date-heure
fillon,Nord-Pas-de-Calais,2017-03-01 13:28:22
fillon,Paris,2017-03-01 13:28:31
fillon,Lyon,2017-03-01 13:28:35
fillon,Paris,2017-03-01 13:28:45
fillon,Paris,2017-03-01 13:28:55
fillon,Bron,2017-03-01 13:28:58
fillon,Marseille,2017-03-01 13:29:01
Melenchon,Marseille,2017-03-01 13:29:01
fillon,Issy-les-Moulineaux,2017-03-01 13:29:05
fillon,Guérande,2017-03-01 13:29:05
Hamon,Pontoise,2017-03-01 13:29:34
Melenchon,Pontoise,2017-03-01 13:29:34
fillon,Valentigney,2017-03-01 13:29:36
fillon,Paris,2017-03-01 13:29:39
fillon,Lyon,2017-03-01 13:29:44
fillon,Paris,2017-03-01 13:29:48
fillon,Lannion,2017-03-01 13:29:50
fillon,Pruniers-en-Sologne,2017-03-01 13:29:58
fillon,Marseille,2017-03-01 13:30:16
Melenchon,Marseille,2017-03-01 13:30:16
fillon,Bordeaux,2017-03-01 13:30:17
fillon,Paris,2017-03-01 13:30:17
fillon,Stains,2017-03-01 13:30:26
Hamon,Meylan,2017-03-01 13:30:33
fillon,Paris,2017-03-01 13:30:40
fillon,Avignon,2017-03-01 13:30:44
fillon,Goussainville,2017-03-01 13:30:49
fillon,Margny-lès-Compiègne,2017-03-01 13:30:55
Macron,Marseille,2017-03-01 13:31:04
Hamon,Marseille,2017-03-01 13:31:04
fillon,Paris,2017-03-01 13:31:09
fillon,Avignon,2017-03-01 13:31:22
fillon,Ile-de-France,2017-03-01 13:31:23
fillon,France,2017-03-01 13:31:24
fillon,Lyon,2017-03-01 13:31:28
fillon,Cannes,2017-03-01 13:32:04
fillon,Nice,2017-03-01 13:32:06
Macron,Nice,2017-03-01 13:32:06
fillon,Nice,2017-03-01 13:32:07
Macron,Nice,2017-03-01 13:32:07
fillon,France,2017-03-01 13:32:07
fillon,Rennes,2017-03-01 13:32:10
fillon,Camon,2017-03-01 13:32:16
fillon,Châtillon,2017-03-01 13:32:40
fillon,Bron,2017-03-01 13:32:43
fillon,Toulouse,2017-03-01 13:32:44
fillon,Paris,2017-03-01 13:32:45
fillon,France,2017-03-01 13:32:46
fillon,Pontoise,2017-03-01 13:32:50
fillon,Lyon,2017-03-01 13:32:55
fillon,Frouville,2017-03-01 13:32:57
fillon,Paris,2017-03-01 13:33:21
fillon,Paris,2017-03-01 13:33:21
fillon,France,2017-03-01 13:33:25
fillon,France,2017-03-01 13:33:47
fillon,Le Cannet,2017-03-01 13:33:51
Jadot,Le Cannet,2017-03-01 13:33:51
fillon,Montpellier,2017-03-01 13:34:01
fillon,Agen,2017-03-01 13:34:05
fillon,France,2017-03-01 13:34:09
fillon,Lizy-sur-Ourcq,2017-03-01 13:34:10
fillon,Epinay-sur-Seine,2017-03-01 13:34:21
fillon,Toulouse,2017-03-01 13:34:33
fillon,Amiens,2017-03-01 13:34:35
Bayrou,La Rochelle,2017-03-01 13:34:42
Macron,La Rochelle,2017-03-01 13:34:42
fillon,Paris,2017-03-01 13:34:42
fillon,Haute-Corse,2017-03-01 13:35:02
fillon,Avignon,2017-03-01 13:35:25
Bayrou,Avignon,2017-03-01 13:35:25
Melenchon,Avignon,2017-03-01 13:35:25
fillon,Lyon,2017-03-01 13:35:26
fillon,Paris,2017-03-01 13:35:27
fillon,France,2017-03-01 13:35:36
Macron,Aubagne,2017-03-01 13:35:48
fillon,Metz,2017-03-01 13:36:00
Hamon,Tours,2017-03-01 13:36:00
Melenchon,Tours,2017-03-01 13:36:00
fillon,Saint-Médard-de-Guizières,2017-03-01 13:36:02
fillon,Les Mayons,2017-03-01 13:36:11
Macron,Les Mayons,2017-03-01 13:36:11
fillon,Saint-Herblain,2017-03-01 13:36:15
fillon,Le Cannet,2017-03-01 13:36:16
Jadot,Le Cannet,2017-03-01 13:36:16
fillon,Thiers,2017-03-01 13:36:35
fillon,Vittel,2017-03-01 13:36:37
fillon,France,2017-03-01 13:36:44
fillon,Nantes,2017-03-01 13:36:46
fillon,Saint-Médard-de-Guizières,2017-03-01 13:36:52
fillon,Haute-Garonne,2017-03-01 13:36:55
Macron,Haute-Garonne,2017-03-01 13:36:55
